STATION,lat,lon
MARINE DRIVE,49.20954787349326,-123.11707077589682
VCC - CLARK,49.26578319885224,-123.07896225222814
NANAIMO,49.24827221040713,-123.0558715165948
MAIN ST. - SCIENCE WORLD,49.27317791205693,-123.1006069075194
STADIUM - CHINATOWN,49.27944169207506,-123.1095647956557
GRANVILLE,49.28363768693571,-123.11640402766496
BURRARD,49.285860148747275,-123.11997233683105
WATERFRONT,49.286075484521184,-123.11173815562668
KING EDWARD,49.249122878436864,-123.11533610439632
BROADWAY-\nCITY HALL,49.2627734682803,-123.11478218171402
RUPERT,49.26076477800688,-123.03282383181924
JOYCE - COLLINGWOOD,49.23839380547173,-123.03180671720274
OAKRIDGE-\n41st. AVE.,49.23346681088296,-123.1160406757537
COMMERCIAL DRIVE,49.262936267570566,-123.06845389848264
RENFREW,49.258892910750575,-123.04530845887125
29TH AVENUE,49.24424259252007,-123.04594067417925
BROADWAY,49.26181784672502,-123.0690994029915
LANGARA-\n49th AVE.,49.22638691937381,-123.11632486111897
OLYMPIC\nVILLAGE,49.266340232349485,-123.11519667896057
YALETOWN-/nROUNDHOUSE,49.27436225502764,-123.12189037736573
VANCOUVER\nCITY\nCENTRE,49.28173470740805,-123.11928408860332
WATERFRONT,49.28566576713621,-123.11333926865105
