STATION;Geom;Geo Local Area
MARINE DRIVE;"{""coordinates"": [-123.11707077589682, 49.20954787349326], ""type"": ""Point""}";Marpole
VCC - CLARK;"{""coordinates"": [-123.07896225222814, 49.26578319885224], ""type"": ""Point""}";Strathcona
NANAIMO;"{""coordinates"": [-123.0558715165948, 49.24827221040713], ""type"": ""Point""}";Renfrew-Collingwood
MAIN ST. - SCIENCE WORLD;"{""coordinates"": [-123.1006069075194, 49.27317791205693], ""type"": ""Point""}";Downtown
STADIUM - CHINATOWN;"{""coordinates"": [-123.1095647956557, 49.27944169207506], ""type"": ""Point""}";Downtown
GRANVILLE;"{""coordinates"": [-123.11640402766496, 49.28363768693571], ""type"": ""Point""}";Downtown
BURRARD;"{""coordinates"": [-123.11997233683105, 49.285860148747275], ""type"": ""Point""}";Downtown
WATERFRONT;"{""coordinates"": [-123.11173815562668, 49.286075484521184], ""type"": ""Point""}";Downtown
KING EDWARD;"{""coordinates"": [-123.11533610439632, 49.249122878436864], ""type"": ""Point""}";Riley Park
BROADWAY-\nCITY HALL;"{""coordinates"": [-123.11478218171402, 49.2627734682803], ""type"": ""Point""}";Mount Pleasant
RUPERT;"{""coordinates"": [-123.03282383181924, 49.26076477800688], ""type"": ""Point""}";Renfrew-Collingwood
JOYCE - COLLINGWOOD;"{""coordinates"": [-123.03180671720274, 49.23839380547173], ""type"": ""Point""}";Renfrew-Collingwood
OAKRIDGE-\n41st. AVE.;"{""coordinates"": [-123.1160406757537, 49.23346681088296], ""type"": ""Point""}";Oakridge
COMMERCIAL DRIVE;"{""coordinates"": [-123.06845389848264, 49.262936267570566], ""type"": ""Point""}";Grandview-Woodland
RENFREW;"{""coordinates"": [-123.04530845887125, 49.258892910750575], ""type"": ""Point""}";Renfrew-Collingwood
29TH AVENUE;"{""coordinates"": [-123.04594067417925, 49.24424259252007], ""type"": ""Point""}";Renfrew-Collingwood
BROADWAY;"{""coordinates"": [-123.0690994029915, 49.26181784672502], ""type"": ""Point""}";Kensington-Cedar Cottage
LANGARA-\n49th AVE.;"{""coordinates"": [-123.11632486111897, 49.22638691937381], ""type"": ""Point""}";Oakridge
OLYMPIC\nVILLAGE;"{""coordinates"": [-123.11519667896057, 49.266340232349485], ""type"": ""Point""}";Fairview
YALETOWN-/nROUNDHOUSE;"{""coordinates"": [-123.12189037736573, 49.27436225502764], ""type"": ""Point""}";Downtown
VANCOUVER\nCITY\nCENTRE;"{""coordinates"": [-123.11928408860332, 49.28173470740805], ""type"": ""Point""}";Downtown
WATERFRONT;"{""coordinates"": [-123.11333926865105, 49.28566576713621], ""type"": ""Point""}";Downtown
